Month	Price
07/01/88	1.88
08/01/88	1.8
09/01/88	1.98
10/01/88	2.07
11/01/88	2.04
12/01/88	2.22
01/01/89	2.23
02/01/89	2.12
03/01/89	2.08
04/01/89	2.01
05/01/89	2.01
06/01/89	1.85
07/01/89	1.44
08/01/89	1.31
09/01/89	1.32
10/01/89	1.18
11/01/89	1.17
12/01/89	1.13
01/01/90	1.09
02/01/90	1.1
03/01/90	1.23
04/01/90	1.23
05/01/90	1.18
06/01/90	1.12
07/01/90	1.1
08/01/90	1.19
09/01/90	1.23
10/01/90	1.24
11/01/90	1.22
12/01/90	1.24
01/01/91	1.16
02/01/91	1.14
03/01/91	1.13
04/01/91	1.12
05/01/91	1.04
06/01/91	1
07/01/91	1
08/01/91	0.99
09/01/91	1.03
10/01/91	1.01
11/01/91	1.11
12/01/91	1.12
01/01/92	1.08
02/01/92	0.94
03/01/92	0.94
04/01/92	0.91
05/01/92	0.83
06/01/92	0.82
07/01/92	0.86
08/01/92	0.86
09/01/92	0.9
10/01/92	0.97
11/01/92	1.05
12/01/92	1.12
01/01/93	1.03
02/01/93	1.04
03/01/93	1.01
04/01/93	0.99
05/01/93	1.02
06/01/93	1.03
07/01/93	1.09
08/01/93	1.29
09/01/93	1.38
10/01/93	1.3
11/01/93	1.36
12/01/93	1.36
01/01/94	1.31
02/01/94	1.34
03/01/94	1.43
04/01/94	1.58
05/01/94	2.09
06/01/94	2.48
07/01/94	3.62
08/01/94	3.59
09/01/94	4.03
10/01/94	3.74
11/01/94	3.38
12/01/94	2.86
01/01/95	2.9
02/01/95	2.97
03/01/95	3.22
04/01/95	3.19
05/01/95	3.11
06/01/95	2.84
07/01/95	2.64
08/01/95	2.87
09/01/95	2.54
10/01/95	2.49
11/01/95	2.44
12/01/95	2.05
01/01/96	1.98
02/01/96	2.14
03/01/96	2
04/01/96	2
05/01/96	2.01
06/01/96	1.9
07/01/96	1.71
08/01/96	1.75
09/01/96	1.64
10/01/96	1.61
11/01/96	1.55
12/01/96	1.39
01/01/97	1.48
02/01/97	1.66
03/01/97	1.77
04/01/97	1.71
05/01/97	2.06
06/01/97	1.96
07/01/97	1.76
08/01/97	1.64
09/01/97	1.66
10/01/97	1.64
11/01/97	1.68
12/01/97	1.82
01/01/98	1.84
02/01/98	1.84
03/01/98	1.81
04/01/98	1.96
05/01/98	2
06/01/98	1.82
07/01/98	1.7
08/01/98	1.75
09/01/98	1.76
10/01/98	1.77
11/01/98	1.77
12/01/98	1.85
01/01/99	1.81
02/01/99	1.75
03/01/99	1.62
04/01/99	1.53
05/01/99	1.5
06/01/99	1.45
07/01/99	1.36
08/01/99	1.39
09/01/99	1.31
10/01/99	1.29
11/01/99	1.39
12/01/99	1.47
01/01/00	1.17
