Month	Price
07/01/88	3.13
08/01/88	2.92
09/01/88	3.04
10/01/88	2.95
11/01/88	2.98
12/01/88	3.25
01/01/89	3.36
02/01/89	3.09
03/01/89	3.1
04/01/89	3.17
05/01/89	3.1
06/01/89	2.76
07/01/89	1.94
08/01/89	1.73
09/01/89	1.73
10/01/89	1.51
11/01/89	1.56
12/01/89	1.6
01/01/90	1.68
02/01/90	1.85
03/01/90	2.09
04/01/90	2.09
05/01/90	2.05
06/01/90	1.97
07/01/90	1.91
08/01/90	2.08
09/01/90	2.1
10/01/90	2.02
11/01/90	1.87
12/01/90	1.97
01/01/91	1.89
02/01/91	1.97
03/01/91	2.06
04/01/91	2.03
05/01/91	1.94
06/01/91	1.89
07/01/91	1.84
08/01/91	1.8
09/01/91	1.92
10/01/91	1.76
11/01/91	1.72
12/01/91	1.66
01/01/92	1.62
02/01/92	1.51
03/01/92	1.55
04/01/92	1.45
05/01/92	1.34
06/01/92	1.3
07/01/92	1.28
08/01/92	1.17
09/01/92	1.17
10/01/92	1.36
11/01/92	1.48
12/01/92	1.7
01/01/93	1.53
02/01/93	1.49
03/01/93	1.4
04/01/93	1.28
05/01/93	1.37
06/01/93	1.38
07/01/93	1.58
08/01/93	1.7
09/01/93	1.78
10/01/93	1.69
11/01/93	1.73
12/01/93	1.79
01/01/94	1.74
02/01/94	1.85
03/01/94	1.92
04/01/94	2
05/01/94	2.69
06/01/94	3.16
07/01/94	4.83
08/01/94	4.42
09/01/94	4.89
10/01/94	4.45
11/01/94	4.03
12/01/94	3.72
01/01/95	3.81
02/01/95	3.74
03/01/95	3.96
04/01/95	3.84
05/01/95	3.77
06/01/95	3.41
07/01/95	3.21
08/01/95	3.38
09/01/95	2.96
10/01/95	2.81
11/01/95	2.76
12/01/95	2.34
01/01/96	2.44
02/01/96	2.74
03/01/96	2.66
04/01/96	2.72
05/01/96	2.85
06/01/96	2.77
07/01/96	2.7
08/01/96	2.78
09/01/96	2.62
10/01/96	2.74
11/01/96	2.74
12/01/96	2.58
01/01/97	2.93
02/01/97	3.71
03/01/97	4.29
04/01/97	4.56
05/01/97	5.89
06/01/97	4.89
07/01/97	4.2
08/01/97	4.21
09/01/97	4.19
10/01/97	3.7
11/01/97	3.53
12/01/97	3.91
01/01/98	3.92
02/01/98	3.93
03/01/98	3.48
04/01/98	3.31
05/01/98	3.04
06/01/98	2.75
07/01/98	2.59
08/01/98	2.72
09/01/98	2.47
10/01/98	2.42
11/01/98	2.57
12/01/98	2.59
01/01/99	2.49
02/01/99	2.33
03/01/99	2.32
04/01/99	2.25
05/01/99	2.45
06/01/99	2.36
07/01/99	2.09
08/01/99	2.01
09/01/99	1.86
10/01/99	2.08
11/01/99	2.5
