Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria," 1,058.89 "," 1,782.26 ", 862.27 ," 1,470.03 "," 1,697.68 ", 897.74 ," 1,229.07 "," 1,461.02 ", 475.40 ," 2,227.75 "," 1,778.85 "," 1,454.68 "," 1,852.26 "," 1,752.31 "," 2,159.30 "," 1,891.63 "," 1,836.23 "," 1,968.36 "," 2,117.54 "," 2,066.22 "," 2,021.45 "," 1,942.38 "," 2,117.00 "," 2,125.00 "," 2,154.00 "," 2,159.00 "," 2,323.00 "
Botswana, 12.97 , 11.54 , 18.10 , 22.07 , 20.42 , 9.25 , 26.43 , 13.26 , 29.54 , 37.43 , 20.74 , 17.49 , 17.76 , 35.43 , 34.16 , 35.04 , 17.96 , 12.51 , 33.30 , 24.21 , 22.02 , 23.35 , 31.00 , 22.00 , 21.00 , 33.00 , 23.00 
Burkina Faso, 5.53 , 7.05 , 1.89 , 7.07 , 8.43 , 13.12 , 11.42 , 12.01 , 16.35 , 22.18 , 13.84 , 10.56 , 14.61 , 32.07 , 26.16 , 20.79 , 4.57 , 32.58 , 20.58 , 38.25 , 60.26 , 70.14 , 65.00 , 78.00 , 83.00 , 128.00 , 92.00 
Cape Verde, 1.67 , 7.12 , 17.50 , 9.97 , 8.03 , 12.59 , 13.05 , 7.71 , 8.74 , 9.23 , 9.80 , 9.76 , 9.25 , 10.69 , 13.88 , 10.52 , 10.85 , 9.72 , 11.26 , 10.65 , 11.34 , 10.56 , 12.00 , 12.00 , 11.00 , 11.00 , 12.00 
Chad, 0.20 , 0.20 , 0.20 , 0.20 , 2.41 , 1.44 , 1.78 , 1.05 , 0.26 , 0.26 , 1.52 , 0.33 , 0.14 , 5.20 , 1.92 , 3.53 , 3.61 , 4.32 , 4.24 , 3.68 , 3.63 , 0.31 , -   , -   , -   , 1.00 , 1.00 
Comoros, -   , -   , 0.08 , 0.21 , 0.06 , 0.02 , 0.08 , 0.14 , 0.05 , 0.11 , 0.06 , 0.08 , 0.21 , 0.14 , 0.19 , 0.27 , 0.29 , 0.14 , 0.17 , 0.25 , 0.44 , 0.63 , 2.00 , -   , -   , -   , 1.00 
Djibouti, 0.47 , 0.40 , 0.59 , 0.93 , 0.54 , 0.38 , 0.34 , 0.16 , 0.18 , 0.13 , 0.20 , 0.83 , 2.99 , 4.75 , 2.86 , 27.61 , 12.38 , 21.26 , 13.81 , 16.82 , 10.46 , 8.92 , 4.00 , 26.00 , 21.00 , 32.00 , 26.00 
Egypt, 85.57 , 107.91 , 133.28 , 107.71 , 92.06 , 125.32 , 150.20 , 213.65 , 116.17 , 140.65 , 95.15 , 79.09 , 111.51 , 107.64 , 117.68 , 125.68 , 115.99 , 151.01 , 386.12 , 323.49 , 297.27 , 438.91 , 695.00 ," 1,036.00 ", 593.00 , 726.00 , 918.00 
Gambia, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.20 , 0.20 , 0.20 , 0.10 , 0.10 , 0.08 , 0.17 , 0.93 , 2.59 , 1.84 , 3.84 , 4.08 , 6.02 , 5.93 , 3.98 , 2.81 , 9.25 , 11.00 , 13.00 , 6.00 , 10.00 , 8.00 
Guinea-Bissau, 0.04 , 0.08 , 0.18 , 0.13 , 0.11 , 0.45 , 0.19 , 0.20 , 0.43 , 0.65 , 0.43 , 0.19 , 0.39 , 0.43 , 0.02 , 0.48 , 0.54 , 0.36 , 0.80 , 0.90 , 0.94 , 1.03 , 1.00 , 1.00 , 1.00 , 2.00 , 2.00 
Lesotho, 8.00 , 7.00 , 11.00 , 21.67 , 20.00 , 10.00 , 3.50 , 3.67 , 4.17 , 3.33 , 2.50 , 2.00 , 1.67 , 4.89 , 3.21 , 0.83 , 0.65 , 0.83 , 0.79 , 1.96 , 2.70 , 5.21 , 6.00 , 1.00 , 4.00 , 4.00 , 4.00 
Libya, 118.63 , 128.79 , 132.09 , 98.54 , 44.28 , 57.75 , 22.32 , 11.53 , 40.79 , 78.00 , 19.62 , 46.54 , 63.51 , 21.76 , 67.55 , 42.00 , 37.46 , 36.03 , 65.99 , 71.93 , 162.84 , 62.75 , 191.00 , 235.00 , 197.00 , 214.00 , 175.00 
