Country,Angola,Bolivia,Brazil,Burundi,Ecuador,Indonesia,Madagascar,Malawi,Papua New Guinea,Paraguay,Peru,Rwanda,Timor-Leste,Zimbabwe,"Congo, Rep. of",Cuba,Dominican Republic,Haiti,Philippines,Tanzania,Zambia,Benin,Cameroon,Central African Republic,Colombia,"Congo, Dem. Rep. of",Costa Rica,C“te d'Ivoire,El Salvador,Equatorial Guinea,Ethiopia,Gabon,Ghana,Guatemala,Guinea,Guyana,Honduras,India,Jamaica,Kenya,"Lao, People's Dem. Rep. of",Liberia,Mexico,Nepal,Nicaragua,Nigeria,Panama,Sierra Leone,Sri Lanka,Thailand,Togo,Trinidad & Tobago,Uganda,Venezuela,Vietnam,Yemen
Type,(R/A),(A),(A/R),(A),(A/R),(R/A),(R),(A),(A/R),(A),(A),(A),(A),(A),(R),(A),(A),(A),(R/A),(A/R),(A),(R),(R/A),(R),(A),(R/A),(A),(R),(A),(R),(A),(R),(R),(A/R),(R),(R),(A),(R/A),(A),(A),(R),(R),(A),(A),(A),(R),(A),(R),(R),(R/A),(R),(R),(R/A),(A),(R/A),(A)
1990/91,50.345,122.777,27285.6286,487.393,1503.815,7441.383,982.447,104.628,962.841,130.627,936.632,534.875,,251.901,2.924,414.212,880.062,392.88,973.632,931.779,22.686,0,1682.484,175.274,14268.387,1580.296,2561.885,2940.363,2464.864,3.536,2909.451,3.408,37.855,3270.529,44.46,,1567.958,2828.687,22.574,1485.135,,3,4674.245,,461.078,29.19,214.987,42.783,95.87,757.017,161.308,14.581,1955.009,1122.477,1310.288,
1991/92,79.331,106.536,27293.4934,667.199,2123.824,8493.196,932.513,124.286,746.816,79.653,1200.474,483.83,,201.394,3.003,302.097,320.56,463.352,1018.482,789.977,29.138,0,1725.948,124.781,17814.866,1229.902,2759.619,4129.295,2197.692,2.551,2924.664,1.752,76.306,3496.531,90.522,,2321.808,2999.749,38.987,1514.047,,3,4727.206,,707.067,44.313,192.532,54.379,81.549,1468.936,432.652,17.792,2088.001,940.704,1437.848,
1992/93,77.52,122.735,34603.3542,620.238,1185.48,5569.478,1121.684,137.161,900.111,54.291,1761.953,638.875,,77.824,3.171,284.237,637.815,499.855,919.851,786.434,29.307,1.805,260.376,133.845,15189.131,1180.157,2997.974,2245.536,3001.301,1.686,1825.171,3.063,36.602,4318.483,76.341,,1918.209,2823.497,25.583,1315.548,,3,3400.811,,547.294,48.882,196.978,39.084,53.181,1254.945,85.648,14.328,2185.074,1215.298,2340.447,
1993/94,32.608,57.323,28166.9786,393.354,2069.007,6743.288,441.859,62.111,1019.481,70.046,665.497,443.625,,11.6,3,285.404,603.944,450.697,874.855,734.375,26.606,0.05,682.913,165.574,10297.602,980.261,2358.753,2293.407,2378.482,0,2967.004,2.884,45.381,3535.501,63.806,,1829.179,3533.181,34.287,1328.112,,5,5023.488,,706.13,45.319,142.066,37.451,53.79,1275.201,194.939,16.079,3141.706,1332.881,3020.216,
1994/95,76.802,122.444,28192.047,664.143,2375.766,5367.878,641.372,84.112,1138.659,24.689,1178.628,22.449,,106.302,7.585,284.315,729.67,450.246,876.764,679.024,21.455,0,405.557,249.512,12862.47,1297.805,2481.942,3006.444,2293.468,3.193,2762.73,7.701,57.176,3787.336,198.357,,2180.73,3001.897,44.598,1663.131,,5,4158.777,,682.969,51.631,248.313,72.738,42.448,1399.135,176.296,18.435,2392.753,988.996,3631.609,
1995/96,62.109,151.985,18060.2022,433.98,1888.233,4573.429,785.009,91.235,1002.363,22.843,1870.939,329.078,,130.644,11.755,284.955,885.625,513.945,849.59,897.121,26.333,0,660.04,108.065,12962.561,1098.155,2843.596,2531.864,2585.179,1.807,3165.322,1.768,56.528,4001.604,104.164,,1909.238,3716.999,43.084,1664.234,,5,5299.888,,984.676,53.038,209.448,43.768,35.595,1317.226,84.401,17.629,3243.584,1466.554,3970.086,
1996/97,70.925,133.079,29196.743,400.969,1992.914,8220.584,849.008,48.65,1089.348,25.563,1805.861,293.003,,174.393,13.86,365.865,518.848,428.387,889.819,763.94,33.025,0,1432.189,207.831,10719.063,794.577,2221.915,4858.592,2533.568,1.12,3407.442,1.279,32.425,4524.556,147.638,,2004.388,3417.454,53.864,1246.753,,5,5109.551,,793.305,45.975,210.742,40.91,36.999,1403.581,290.586,18.188,3418.724,1206.162,5752.481,
1997/98,64.33,153.219,26148.004,249.785,1190.663,7620.778,623.804,60.82,1074.021,23.379,1929.959,193.422,,130.193,3.27,300.021,941.242,431.818,935.472,623.78,38.462,0,888.942,114.354,12219.455,811.217,2616.6,4164.004,2174.809,1.669,3056.864,2.668,27.275,4219.373,171.711,,2564.405,3805.089,47.025,881.965,,5,4801.561,,1083.523,44.667,217.469,49.679,57.584,1293.076,221.078,19.392,3439.868,951.285,6978.942,
1998/99,85.344,149.985,36760.8533,491.992,1205.968,7295.955,991.799,64.321,1352.149,58.347,2102.298,222.637,,149.45,3,279.953,486.592,439.247,676.729,739.312,61.686,0,1113.94,214.582,10979.094,738.083,2445.12,1991.547,2054.628,1.036,2927.725,3.765,54.436,4892.964,421.266,5.9811,2195.145,4416.768,29.083,1172.882,171.424,17.779,4801.348,,1073.08,53.405,191.996,26.882,45.738,915.986,321.486,17.018,3385.839,1597.279,7051.722,68.7007
1999/00,54.939,183.702,47577.8065,350.55,1197.6832,6557.0662,427.317,59,1387.0519,20.241,2743.533,307.275,,125.4843,3,327.9874,606.879,399.027,621.7634,842.2181,58.725,0,1369.824,240.682,9678.7709,477.154,2485.33,6320.4388,2598.1449,0.179,3784.051,2.057,88.9011,5120.1288,363.707,5.0876,2985.005,4866.5892,37.9705,1501.891,238.772,12.163,6218.6765,,1554.0548,45.067,166.381,59.02,31.716,1272.8378,262.808,16.89,2862.447,1366.835,11630.9138,60.579
2000/01,49.785,172.604,31310.353,487.46,853.817,6987.2397,362.1618,63.138,1040.7392,42.402,2675.593,273.363,7.1279,108.523,3,312.4345,467.038,419.85,340.9218,808.8714,93.374,0,1113.143,113.313,10399.887,362.535,2418.536,4845.584,1704.4498,0,3115.149,0,76.456,4939.753,399.992,2.8718,2666.658,5019.7666,36.8774,1001.8641,212.185,12.305,4814.9789,,1572.4326,49.431,170.226,49.155,33.28,1692.2342,197.401,16.393,3400.683,1449.924,14841.309,63.936
2001/02,20.69,117.516,31365.0955,143.982,792.847,6833.356,147.236,60.39,1062.593,19.6,2828.946,295.51,32.8539,121.042,3,284.974,386.958,402.64,262.682,624.089,99.672,0,685.677,68.172,11962.441,423.184,2246.7,3595.065,1693.966,0,4044.24,0.822,7.285,3668.96,235.979,5.2563,3036.252,5010.313,30.775,990.531,258.1452,11.833,4438.404,,1078.752,44.003,159.939,79.2,31.531,714.5,112.018,16.165,3157.777,1264.613,13093.244,62.2185
2002/03,56.64,149.168,48351.634,453.732,582.224,6731.376,445.455,42.464,1085.147,26.0485,3000.32,319.68,36.8093,110.121,3,239.105,455.198,373.945,255.21,823.609,118.927,0,800.795,92.094,11735.253,337.873,2043.413,3145.057,1361.376,0,4093.902,1.25,33.6323,4069.953,328.229,5.2013,2495.886,4587.889,37.123,945.402,402.0043,12.482,4351.426,,1170.017,49.815,139.962,41.7289,34.3807,731.9,68.205,16.5524,2890.058,1483.5896,11573.935,56.7446
