indic_de,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
TOTFERRT,AD	: 	1.24 	1.18 	1.25 	1.19 	1.27 	: 	: 	: 	: 	: 	: 
TOTFERRT,AL	1.61 	1.38 	: 	: 	: 	: 	: 	: 	1.73 	1.73 	: e	1.54 
TOTFERRT,AM	: 	1.34 	1.41 	1.43 	1.53 	: 	: 	: 	: 	: 	1.62 	1.62 
TOTFERRT,AT	1.41 	1.41 	1.38 	1.42 	1.39 	1.44 	1.43 	1.44 	1.44 	1.46 	1.49 	1.53 
TOTFERRT,AZ	: 	1.97 	1.97 	1.90 	1.82 	1.92 	: 	2.00 	1.98 	1.97 	1.94 	1.90 
TOTFERRT,BE	1.76 	1.80 	1.82 	1.85 	1.84 	1.86 	1.81 b	1.80 	1.76 	1.74 	1.70 	1.68 
TOTFERRT,BG	1.37 	1.44 	1.49 	1.56 	1.66 	1.57 	1.51 	1.50 	1.48 	1.53 	1.53 	1.54 
TOTFERRT,BY	: 	1.29 	1.37 	1.42 	: 	: 	1.51 	1.62 	1.67 	1.70 	1.72 	1.73 
TOTFERRT,CH	1.42 	1.44 	1.46 	1.48 	1.50 	1.52 	1.52 b	1.52 	1.52 	1.54 	1.54 	1.54 
TOTFERRT,CY	1.48 	1.52 	1.44 	1.48 	1.47 	1.44 	1.35 	1.39 	1.30 	1.31 	1.32 	1.37 
TOTFERRT,CZ	1.29 	1.34 	1.45 	1.51 	1.51 	1.51 	1.43 	1.45 	1.46 	1.53 	1.57 	1.63 
TOTFERRT,DE	1.34 	1.33 	1.37 	1.38 	1.36 	1.39 	1.39 b	1.41 	1.42 	1.47 	1.50 	1.60 p
TOTFERRT,DK	1.80 	1.85 	1.84 	1.89 	1.84 	1.87 	1.75 	1.73 	1.67 	1.69 	1.71 	1.79 
TOTFERRT,EA18	1.50 	1.53 	1.54 	1.58 	1.57 	1.59 	1.57 b	1.56 b	1.54 	1.56 	1.56 bp	1.58 p
TOTFERRT,EA19	1.50 	1.53 	1.54 	1.58 	1.57 	1.59 	1.57 b	1.56 b	1.54 	1.56 	1.56 bp	1.58 p
TOTFERRT,EE	1.52 	1.58 	1.69 	1.72 	1.70 	1.72 	1.61 	1.56 	1.52 	1.54 	1.58 b	1.60 
TOTFERRT,EL	1.34 	1.40 	1.41 	1.50 	1.50 	1.48 	1.40 	1.34 	1.29 	1.30 	1.33 	1.38 
TOTFERRT,ES	1.33 	1.36 	1.38 	1.45 	1.38 	1.37 	1.34 	1.32 	1.27 	1.32 	1.33 	1.34 
TOTFERRT,EU27	1.51 	1.54 	1.56 	1.61 	1.61 	1.62 b	1.59 b	1.59 b	1.55 e	1.58 e	1.58 bep	1.60 ep
TOTFERRT,EU28	1.51 	1.54 	1.56 	1.61 	1.61 	1.62 b	1.59 b	1.59 b	1.55 e	1.58 e	1.57 bep	1.60 ep
TOTFERRT,FI	1.80 	1.84 	1.83 	1.85 	1.86 	1.87 	1.83 	1.80 	1.75 	1.71 	1.65 	1.57 
TOTFERRT,FR	1.94 	2.00 	1.98 	2.01 	2.00 	2.03 	2.01 	2.01 	1.99 	2.01 	1.96 bp	1.92 p
TOTFERRT,FX	1.92 	1.98 	1.96 	1.99 	1.99 	2.02 	2.00 	1.99 	: 	: 	: 	: 
TOTFERRT,GE	: 	1.41 	1.45 	1.66 	1.85 	1.81 	: 	: 	: 	1.97 	2.21 	2.23 
TOTFERRT,HR	1.50 	1.47 	1.48 	1.55 	1.58 	1.55 	1.48 	1.51 	1.46 	1.46 	1.40 	1.42 
TOTFERRT,HU	1.31 	1.34 	1.32 	1.35 	1.32 	1.25 	1.23 	1.34 b	1.35 	1.44 	1.45 	1.53 
TOTFERRT,IE	1.86 	1.91 	2.01 	2.06 	2.06 	2.05 	2.03 	1.98 	1.93 	1.89 	1.85 	1.81 
TOTFERRT,IS	2.05 	2.08 	2.09 	2.15 	2.23 	2.20 	2.02 	2.04 	1.93 	1.93 	1.80 	1.74 
TOTFERRT,IT	1.34 	1.37 	1.40 	1.45 	1.45 	1.46 	1.44 	1.43 	1.39 	1.37 	1.35 	1.34 
TOTFERRT,LI	1.49 	1.43 	1.42 	1.43 	1.71 	1.40 	1.69 	1.51 	1.45 	1.59 	1.40 	1.61 
TOTFERRT,LT	1.29 	1.33 	1.36 	1.45 	1.50 	1.50 	1.55 	1.60 	1.59 	1.63 	1.70 	1.69 
TOTFERRT,LU	1.63 	1.65 	1.61 	1.61 	1.59 	1.63 	1.52 	1.57 b	1.55 	1.50 	1.47 	1.41 
TOTFERRT,LV	1.39 	1.46 	1.54 	1.58 	1.46 	1.36 	1.33 	1.44 	1.52 	1.65 	1.70 	1.74 
TOTFERRT,MD	: 	1.22 	1.25 	1.27 	1.31 	1.30 	1.27 	1.28 	: 	: 	: 	: 
TOTFERRT,ME	1.69 	1.73 	1.80 	1.89 	1.98 	1.70 	1.65 	1.72 	1.73 	1.75 	1.74 	: 
TOTFERRT,MK	1.46 	1.46 	1.46 	1.47 	1.52 	1.56 	1.46 	1.51 	1.49 	1.52 	1.50 	1.50 
TOTFERRT,MT	1.38 	1.36 	1.35 	1.43 	1.42 	1.36 	1.45 	1.42 	1.36 	1.38 	1.37 	1.37 
TOTFERRT,NL	1.71 	1.72 	1.72 	1.77 	1.79 	1.79 	1.76 	1.72 	1.68 	1.71 	1.66 	1.66 
TOTFERRT,NO	1.84 	1.90 	1.90 	1.96 	1.98 	1.95 	1.88 	1.85 	1.78 	1.75 	1.72 	1.71 
TOTFERRT,PL	1.24 	1.27 	1.31 	1.39 	1.40 b	1.41 b	1.33 	1.33 	1.29 	1.32 	1.32 	1.39 
TOTFERRT,PT	1.41 	1.37 	1.35 	1.39 	1.34 	1.39 	1.35 	1.28 	1.21 	1.23 	1.31 	1.36 
TOTFERRT,RO	1.40 	1.42 	1.45 	1.60 	1.66 	1.59 	1.47 	1.52 	1.46 e	1.56 e	1.58 e	1.64 
TOTFERRT,RS	1.45 	1.43 	1.38 	1.40 	1.44 	1.40 	1.40 b	1.45 	1.43 	1.46 	1.46 	1.46 
TOTFERRT,RU	: 	1.30 	1.41 	1.49 	1.54 	1.57 	: 	: 	: 	: 	: 	: 
TOTFERRT,SE	1.77 	1.85 	1.88 	1.91 	1.94 	1.98 	1.90 	1.91 	1.89 	1.88 	1.85 	1.85 
TOTFERRT,SI	1.26 	1.31 	1.38 	1.53 	1.53 	1.57 	1.56 	1.58 	1.55 	1.58 	1.57 	1.58 
TOTFERRT,SK	1.27 	1.25 	1.27 	1.34 	1.44 	1.43 	1.45 	1.34 	1.34 	1.37 	1.40 	1.48 
TOTFERRT,SM	: 	: 	: 	: 	: 	: 	: 	1.26 	: 	: 	: 	: 
TOTFERRT,TR	: 	: 	2.13 	2.10 	2.09 	2.04 	2.03 	2.09 	2.08 	2.17 	2.14 	2.11 
TOTFERRT,UA	: 	1.30 	1.33 	1.45 	: 	1.43 	1.46 	1.53 	: 	1.46 	: 	1.35 
TOTFERRT,UK	1.76 	1.82 	1.86 	1.91 	1.89 	1.92 	1.91 	1.92 	1.83 	1.81 e	1.80 e	1.79 e
TOTFERRT,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: p	1.66 p
